x,y,amenity,classification,key_value,category
77.0822696,28.5209438,fuel,activity,{'amenity': 'fuel'},commercial
77.0646918,28.5977207,fuel,activity,{'amenity': 'fuel'},commercial
77.2059863,28.5203641,atm,activity,{'amenity': 'atm'},commercial
77.2071199,28.5232994,atm,activity,{'amenity': 'atm'},commercial
77.2071344,28.5237474,cinema,activity,{'amenity': 'cinema'},commercial
77.3089374,28.6331429,hospital,activity,{'amenity': 'hospital'},commercial
77.0352125,28.7981223,pharmacy,activity,{'amenity': 'pharmacy'},commercial
77.0352715,28.7983668,hospital,activity,{'amenity': 'hospital'},commercial
77.0354003,28.7980095,hospital,activity,{'amenity': 'hospital'},commercial
77.0353788,28.8006984,hospital,activity,{'amenity': 'hospital'},commercial
77.0343328,28.7979343,pharmacy,activity,{'amenity': 'pharmacy'},commercial
77.0355129,28.8003599,pharmacy,activity,{'amenity': 'pharmacy'},commercial
77.0256424,28.8055119,police,activity,{'amenity': 'police'},commercial
77.0352522,28.7988933,restaurant,activity,{'amenity': 'restaurant'},commercial
77.0374388,28.8012625,hospital,activity,{'amenity': 'hospital'},commercial
77.0372885,28.7946905,school,activity,{'amenity': 'school'},commercial
77.2501351,28.5490758,fuel,activity,{'amenity': 'fuel'},commercial
77.2782886,28.5390089,,activity,{'shop': 'outdoor'},commercial
77.2479091,28.5503207,fuel,activity,"{'amenity': 'fuel', 'shop': 'convenience'}",commercial
77.177701,28.5962679,school,activity,{'amenity': 'school'},commercial
77.2786862,28.6442777,,activity,{'shop': 'bakery'},commercial
77.2206204,28.6630585,atm,activity,{'amenity': 'atm'},commercial
77.2185803,28.6633196,fuel,activity,{'amenity': 'fuel'},commercial
77.2052683,28.6416777,hospital,activity,{'amenity': 'hospital'},commercial
77.2105994,28.6407045,restaurant,activity,{'amenity': 'restaurant'},commercial
77.2196937,28.6350924,cinema,activity,{'amenity': 'cinema'},commercial
77.2201443,28.6351018,,activity,{'shop': 'tailor'},commercial
77.2201014,28.6347064,atm,activity,{'amenity': 'atm'},commercial
77.2175372,28.6344827,atm,activity,{'amenity': 'atm'},commercial
77.2222257,28.6348946,cafe,activity,{'amenity': 'cafe'},commercial
77.2196937,28.635243,restaurant,activity,{'amenity': 'restaurant'},commercial
77.2187312,28.6412362,bus_station,activity,{'amenity': 'bus_station'},commercial
77.2360463,28.641256,cinema,activity,{'amenity': 'cinema'},commercial
77.2238694,28.6394116,bus_station,activity,{'amenity': 'bus_station'},commercial
77.2283796,28.6685915,bus_station,activity,{'amenity': 'bus_station'},commercial
77.2809165,28.5357637,post_office,activity,{'amenity': 'post_office'},commercial
77.2834999,28.5408389,hospital,activity,{'amenity': 'hospital'},commercial
77.203509,28.6171973,bus_station,activity,{'amenity': 'bus_station'},commercial
