x,y,amenity,classification,key_value,category,spatial_cluster
77.02564240000001,28.8055119,police,activity,{'amenity': 'police'},commercial,-1
77.0352522,28.798893300000003,restaurant,activity,{'amenity': 'restaurant'},commercial,22
77.03743879999999,28.8012625,hospital,activity,{'amenity': 'hospital'},commercial,22
77.0372885,28.7946905,school,activity,{'amenity': 'school'},commercial,22
77.2501351,28.549075800000004,fuel,activity,{'amenity': 'fuel'},commercial,9
77.2782886,28.5390089,,activity,{'shop': 'outdoor'},commercial,23
77.24790909999999,28.5503207,fuel,activity,"{'amenity': 'fuel', 'shop': 'convenience'}",commercial,9
77.177701,28.5962679,school,activity,{'amenity': 'school'},commercial,7
77.27868620000001,28.6442777,,activity,{'shop': 'bakery'},commercial,-1
77.2206204,28.6630585,atm,activity,{'amenity': 'atm'},commercial,4
77.2185803,28.6633196,fuel,activity,{'amenity': 'fuel'},commercial,4
77.2052683,28.6416777,hospital,activity,{'amenity': 'hospital'},commercial,4
77.2105994,28.6407045,restaurant,activity,{'amenity': 'restaurant'},commercial,4
77.21969370000001,28.6350924,cinema,activity,{'amenity': 'cinema'},commercial,4
77.2201443,28.635101799999997,,activity,{'shop': 'tailor'},commercial,4
77.2201014,28.634706400000002,atm,activity,{'amenity': 'atm'},commercial,4
77.2175372,28.6344827,atm,activity,{'amenity': 'atm'},commercial,4
77.2222257,28.6348946,cafe,activity,{'amenity': 'cafe'},commercial,4
77.21969370000001,28.635243,restaurant,activity,{'amenity': 'restaurant'},commercial,4
77.21873120000001,28.641236199999998,bus_station,activity,{'amenity': 'bus_station'},commercial,4
77.2360463,28.641256,cinema,activity,{'amenity': 'cinema'},commercial,4
77.2238694,28.639411600000003,bus_station,activity,{'amenity': 'bus_station'},commercial,4
77.2283796,28.668591499999998,bus_station,activity,{'amenity': 'bus_station'},commercial,4
77.2809165,28.5357637,post_office,activity,{'amenity': 'post_office'},commercial,23
77.28349990000001,28.540838899999997,hospital,activity,{'amenity': 'hospital'},commercial,23
77.203509,28.6171973,bus_station,activity,{'amenity': 'bus_station'},commercial,-1
77.2251757,28.6683615,bus_station,activity,{'amenity': 'bus_station'},commercial,4
77.2788687,28.6111916,theatre,activity,{'amenity': 'theatre'},commercial,24
77.2768034,28.614423100000003,restaurant,activity,{'amenity': 'restaurant'},commercial,24
77.1940746,28.6009268,embassy,activity,{'amenity': 'embassy'},commercial,7
77.19177459999999,28.5954831,embassy,activity,{'amenity': 'embassy'},commercial,7
77.1819343,28.5891125,embassy,activity,{'amenity': 'embassy'},commercial,7
77.180038,28.5897641,embassy,activity,{'amenity': 'embassy'},commercial,7
77.1856657,28.591231899999997,embassy,activity,{'amenity': 'embassy'},commercial,7
77.1891752,28.590284999999998,embassy,activity,{'amenity': 'embassy'},commercial,7
77.1857326,28.5920784,embassy,activity,{'amenity': 'embassy'},commercial,7
77.1789689,28.587246899999997,embassy,activity,{'amenity': 'embassy'},commercial,7
77.1864655,28.5933815,embassy,activity,{'amenity': 'embassy'},commercial,7
77.18357409999999,28.588477100000002,embassy,activity,{'amenity': 'embassy'},commercial,7
77.1899653,28.592074699999998,embassy,activity,{'amenity': 'embassy'},commercial,7
77.1932387,28.5983229,embassy,activity,{'amenity': 'embassy'},commercial,7
77.1819434,28.587721000000002,embassy,activity,{'amenity': 'embassy'},commercial,7
77.1872808,28.5948695,embassy,activity,{'amenity': 'embassy'},commercial,7
77.1949563,28.6020528,embassy,activity,{'amenity': 'embassy'},commercial,7
77.1909272,28.593804,embassy,activity,{'amenity': 'embassy'},commercial,7
77.1789112,28.588790799999998,embassy,activity,{'amenity': 'embassy'},commercial,7
77.1805708,28.585341399999997,restaurant,activity,{'amenity': 'restaurant'},commercial,7
77.18475240000001,28.589971000000002,embassy,activity,{'amenity': 'embassy'},commercial,7
77.2692214,28.533616100000003,fast_food,activity,{'amenity': 'fast_food'},commercial,9
77.2108258,28.6411555,cinema,activity,{'amenity': 'cinema'},commercial,4
77.2427321,28.616633899999997,theatre,activity,{'amenity': 'theatre'},commercial,-1
77.0493833,28.5965201,hospital,activity,{'amenity': 'hospital'},commercial,-1
77.0580608,28.590916999999997,bar,activity,{'amenity': 'bar'},commercial,25
77.06220429999999,28.588872,pharmacy,activity,{'amenity': 'pharmacy'},commercial,25
77.05632220000001,28.589229200000002,pharmacy,activity,{'amenity': 'pharmacy'},commercial,25
77.0589614,28.5902843,pharmacy,activity,{'amenity': 'pharmacy'},commercial,25
77.05735920000001,28.586609999999997,hospital,activity,{'amenity': 'hospital'},commercial,25
77.1497987,28.7237864,hospital,activity,{'amenity': 'hospital'},commercial,-1
77.15713670000001,28.7170924,police,activity,{'amenity': 'police'},commercial,-1
77.1580454,28.703387,cinema,activity,{'amenity': 'cinema'},commercial,-1
77.15760440000001,28.702991700000002,restaurant,activity,{'amenity': 'restaurant'},commercial,-1
77.1580765,28.702916499999997,,activity,{'shop': 'supermarket'},commercial,-1
77.15777609999999,28.7026341,restaurant,activity,{'amenity': 'restaurant'},commercial,-1
77.1864987,28.5701843,fuel,activity,{'amenity': 'fuel'},commercial,7
77.1843122,28.5685669,fire_station,activity,{'amenity': 'fire_station'},commercial,7
77.1860267,28.5722525,hospital,activity,{'amenity': 'hospital'},commercial,7
77.1842457,28.573859000000002,school,activity,{'amenity': 'school'},commercial,7
77.17832340000001,28.5697886,school,activity,{'amenity': 'school'},commercial,7
77.1781517,28.5712962,school,activity,{'amenity': 'school'},commercial,7
77.1731735,28.5728037,cinema,activity,{'amenity': 'cinema'},commercial,7
77.18454609999999,28.5778727,college,activity,{'amenity': 'college'},commercial,7
77.243926,28.546727399999998,pharmacy,activity,{'amenity': 'pharmacy'},commercial,9
77.2437865,28.5465578,taxi,activity,{'amenity': 'taxi'},commercial,9
77.2445375,28.546925399999996,hospital,activity,{'amenity': 'hospital'},commercial,9
77.2441405,28.546840500000002,,activity,{'shop': 'convenience'},commercial,9
77.24660949999999,28.548148600000005,school,activity,{'amenity': 'school'},commercial,9
77.186576,28.6428339,cafe,activity,{'amenity': 'cafe'},commercial,4
77.1774672,28.6324664,,activity,{'shop': 'convenience'},commercial,4
77.18100770000001,28.634519300000004,police,activity,{'amenity': 'police'},commercial,4
77.0682683,28.6301441,police,activity,{'amenity': 'police'},commercial,-1
77.0652214,28.636104800000002,restaurant,activity,{'amenity': 'restaurant'},commercial,-1
77.07474690000001,28.639059600000003,cinema,activity,{'amenity': 'cinema'},commercial,-1
